# Mass range = (M200b>1.5e12)&(M200b<2e12) 
#  X Y Z M200b M200c tidal_anisotropy
1.375627000000000066e+01 2.446990999999999872e+01 1.120120999999999967e+01 1.514500000000000000e+12 1.224400000000000000e+12 3.604358046081422851e-01
3.599757000000000318e+01 1.001727999999999952e+01 2.668456000000000117e+01 1.563900000000000000e+12 1.124300000000000000e+12 4.386643843730121950e-01
4.286133000000000237e+01 4.500825999999999993e+01 3.346687000000000012e+01 1.518900000000000000e+12 1.163600000000000000e+12 1.619004136139659267e-01
3.334232000000000085e+01 1.575929999999999964e+01 2.983490000000000109e+01 1.524000000000000000e+12 1.131300000000000000e+12 1.688200868358237794e-01
3.852526999999999902e+01 1.636122999999999905e+01 4.359324000000000154e+01 1.555700000000000000e+12 1.052700000000000000e+12 2.168314850521110559e-01
7.116460000000000008e+00 2.060617999999999839e+01 4.677880000000000038e+00 1.575900000000000000e+12 1.143300000000000000e+12 3.106530702526261734e-01
3.918081999999999709e+01 2.977289999999999992e+00 2.436456000000000088e+01 1.518900000000000000e+12 1.172400000000000000e+12 4.247681725334342961e-01
3.181334999999999980e+01 9.441110000000000113e+00 4.980964000000000169e+01 1.519500000000000000e+12 1.207900000000000000e+12 6.436673269815362808e-01
3.337608999999999781e+01 3.372549000000000063e+01 1.611644000000000077e+01 1.503100000000000000e+12 1.054600000000000000e+12 3.100304169223230821e-01
3.273931999999999931e+01 3.381318000000000268e+01 3.478222999999999843e+01 1.545500000000000000e+12 1.115400000000000000e+12 2.171698209275234048e-01
3.861117000000000132e+01 3.084381000000000128e+01 9.697440000000000282e+00 1.530300000000000000e+12 9.969900000000000000e+11 2.734181105927010469e-01
1.434966000000000008e+01 5.938539999999999708e+00 3.085573000000000121e+01 1.532800000000000000e+12 9.697500000000000000e+11 2.758127001983295412e-01
2.980987999999999971e+01 3.485231000000000279e+01 4.630000000000000226e-01 1.518900000000000000e+12 8.969100000000000000e+11 4.232499291960198917e-01
1.791554999999999964e+01 3.978810000000000180e+00 5.412279999999999802e+01 1.590500000000000000e+12 1.340900000000000000e+12 3.872383655272865211e-01
